Entity,label,By-Statement
Ajay Kumar,ANTI,1
Ajay Kumar,PRO,1
Ajit Pawar,ANTI,1
Ajit Pawar,PRO,2
Akhilesh Yadav,ANTI,6
Akhilesh Yadav,PRO,4
Amarinder Singh,ANTI,23
Amarinder Singh,PRO,41
Amit Shah,PRO,3
Arun Jaitley,ANTI,60
Arun Jaitley,PRO,217
Arundhati Bhattacharya,ANTI,1
Arundhati Bhattacharya,PRO,3
Arvind Kejriwal,PRO,3
Arvind Panagariya,PRO,1
Babu,ANTI,15
Babu,PRO,24
Barack Obama,ANTI,1
Barack Obama,PRO,1
Centre,ANTI,1
Deepak,PRO,4
Deepak Kumar,PRO,2
Deepak Parekh,PRO,1
Devendra Fadnavis,ANTI,7
Devendra Fadnavis,PRO,49
Edappadi K.Palaniswami,ANTI,3
Edappadi K.Palaniswami,PRO,1
Gandhi,ANTI,69
Gandhi,PRO,61
Gautam Kothari,ANTI,1
Gautham,PRO,2
Ghanshyam Thori,ANTI,1
Ghanshyam Thori,PRO,1
Hamid Ansari,ANTI,2
Hamid Ansari,PRO,1
Harsh Vardhan,PRO,1
Jain,ANTI,6
Jain,PRO,14
Kiran Bedi,PRO,1
Kiran Kumar,PRO,2
Kumar Ravi,ANTI,2
Kumar Ravi,PRO,2
M. Venkaiah Naidu,PRO,8
Madan,ANTI,1
Madan,PRO,2
Mamata Banerjee,ANTI,35
Mamata Banerjee,PRO,31
Manish Sisodia,ANTI,1
Manish Sisodia,PRO,3
Manmohan Singh,ANTI,4
Manmohan Singh,PRO,7
Manohar Lal Khattar,ANTI,2
Manohar Lal Khattar,PRO,17
Manohar Parrikar,ANTI,2
Manohar Parrikar,PRO,7
Modi,ANTI,177
Modi,PRO,712
Mridula Sinha,PRO,1
Mukesh Kumar,ANTI,1
Mukhtar Abbas Naqvi,PRO,3
Nagar,ANTI,5
Nagar,PRO,5
Naidu,ANTI,21
Naidu,PRO,49
Nara Chandrababu Naidu,PRO,1
Narendra Modi,ANTI,31
Narendra Modi,PRO,123
Naveen Patnaik,ANTI,3
Naveen Patnaik,PRO,7
Nirmala Sitharaman,ANTI,1
Nirmala Sitharaman,PRO,6
Nitish Kumar,ANTI,10
Nitish Kumar,PRO,20
Omar Abdullah,PRO,2
Oommen Chandy,PRO,1
Park,ANTI,5
Park,PRO,14
Parkash Singh Badal,PRO,10
Piyush Goyal,PRO,3
Pranab Mukherjee,ANTI,6
Pranab Mukherjee,PRO,25
Prithviraj Chavan,ANTI,1
Prithviraj Chavan,PRO,2
Radha Mohan Singh,ANTI,5
Radha Mohan Singh,PRO,15
Radhakrishnan,PRO,2
Raghuram Rajan,ANTI,2
Rahul Gandhi,ANTI,19
Rahul Gandhi,PRO,16
Rajesh Kumar,PRO,1
Rajiv Kumar,ANTI,1
Rajiv Kumar,PRO,1
Rajnath Singh,ANTI,1
Rajnath Singh,PRO,12
Ram,ANTI,143
Ram,PRO,222
Ram Nath Kovind,PRO,2
Read,ANTI,1
Read,PRO,1
Sanjeev Kumar,PRO,1
Sarbananda Sonowal,PRO,1
Satya Nadella,PRO,1
Shashi Tharoor,ANTI,8
Shashi Tharoor,PRO,2
Shivraj Singh Chouhan,ANTI,7
Shivraj Singh Chouhan,PRO,26
Shukla,ANTI,3
Shukla,PRO,5
Siddaramaiah,ANTI,68
Siddaramaiah,PRO,124
Smriti Irani,ANTI,2
Smriti Irani,PRO,9
Subhash Chandra Garg,ANTI,1
Subhash Chandra Garg,PRO,3
Sukhbir Singh Badal,PRO,2
Sushil Kumar Modi,PRO,9
Sushma Swaraj,ANTI,1
Sushma Swaraj,PRO,1
Tim Cook,ANTI,1
Vasundhara Raje,ANTI,1
Vasundhara Raje,PRO,6
Vijay Rupani,PRO,4
Yogi Adityanath,ANTI,7
Yogi Adityanath,PRO,28
