Entity,label,By-Statement
Ajay Kumar,Anti,1
Ajay Kumar,Pro,1
Ajit Pawar,Anti,1
Ajit Pawar,Pro,2
Akhilesh Yadav,Anti,8
Akhilesh Yadav,Pro,2
Amarinder Singh,Anti,28
Amarinder Singh,Pro,37
Amit Shah,Anti,1
Amit Shah,Pro,2
Arun Jaitley,Anti,48
Arun Jaitley,Pro,230
Arundhati Bhattacharya,Pro,4
Arvind Kejriwal,Anti,1
Arvind Kejriwal,Pro,2
Arvind Panagariya,Pro,1
Babu,Anti,12
Babu,Pro,27
Barack Obama,Anti,1
Barack Obama,Pro,1
Centre,Pro,1
Deepak,Pro,4
Deepak Kumar,Pro,2
Deepak Parekh,Pro,1
Devendra Fadnavis,Anti,6
Devendra Fadnavis,Pro,50
Edappadi K.Palaniswami,Anti,3
Edappadi K.Palaniswami,Pro,1
Gandhi,Anti,84
Gandhi,Pro,47
Gautam Kothari,Anti,1
Gautham,Pro,2
Ghanshyam Thori,Anti,1
Ghanshyam Thori,Pro,1
Hamid Ansari,Anti,1
Hamid Ansari,Pro,2
Harsh Vardhan,Pro,1
Jain,Anti,7
Jain,Pro,13
Kiran Bedi,Pro,1
Kiran Kumar,Pro,2
Kumar Ravi,Anti,3
Kumar Ravi,Pro,1
M. Venkaiah Naidu,Anti,2
M. Venkaiah Naidu,Pro,6
Madan,Anti,1
Madan,Pro,2
Mamata Banerjee,Anti,32
Mamata Banerjee,Pro,34
Manish Sisodia,Anti,1
Manish Sisodia,Pro,3
Manmohan Singh,Anti,5
Manmohan Singh,Pro,6
Manohar Lal Khattar,Anti,1
Manohar Lal Khattar,Pro,18
Manohar Parrikar,Anti,1
Manohar Parrikar,Pro,8
Modi,Anti,160
Modi,Pro,732
Mridula Sinha,Pro,1
Mukesh Kumar,Anti,1
Mukhtar Abbas Naqvi,Pro,3
Nagar,Anti,5
Nagar,Pro,5
Naidu,Anti,19
Naidu,Pro,51
Nara Chandrababu Naidu,Pro,1
Narendra Modi,Anti,36
Narendra Modi,Pro,119
Naveen Patnaik,Anti,2
Naveen Patnaik,Pro,8
Nirmala Sitharaman,Anti,1
Nirmala Sitharaman,Pro,6
Nitish Kumar,Anti,12
Nitish Kumar,Pro,19
Omar Abdullah,Anti,2
Oommen Chandy,Pro,1
Park,Anti,4
Park,Pro,15
Parkash Singh Badal,Anti,1
Parkash Singh Badal,Pro,9
Piyush Goyal,Pro,3
Pranab Mukherjee,Anti,3
Pranab Mukherjee,Pro,28
Prithviraj Chavan,Anti,2
Prithviraj Chavan,Pro,1
Radha Mohan Singh,Anti,4
Radha Mohan Singh,Pro,16
Radhakrishnan,Pro,2
Raghuram Rajan,Anti,2
Rahul Gandhi,Anti,26
Rahul Gandhi,Pro,10
Rajesh Kumar,Pro,1
Rajiv Kumar,Anti,1
Rajiv Kumar,Pro,1
Rajnath Singh,Anti,2
Rajnath Singh,Pro,11
Ram,Anti,154
Ram,Pro,211
Ram Nath Kovind,Pro,2
Read,Anti,1
Read,Pro,1
Sanjeev Kumar,Pro,1
Sarbananda Sonowal,Pro,1
Satya Nadella,Pro,1
Shashi Tharoor,Anti,5
Shashi Tharoor,Pro,5
Shivraj Singh Chouhan,Anti,6
Shivraj Singh Chouhan,Pro,27
Shukla,Anti,3
Shukla,Pro,5
Siddaramaiah,Anti,74
Siddaramaiah,Pro,118
Smriti Irani,Anti,3
Smriti Irani,Pro,8
Subhash Chandra Garg,Pro,4
Sukhbir Singh Badal,Anti,1
Sukhbir Singh Badal,Pro,1
Sushil Kumar Modi,Pro,9
Sushma Swaraj,Anti,1
Sushma Swaraj,Pro,1
Tim Cook,Pro,1
Vasundhara Raje,Anti,1
Vasundhara Raje,Pro,6
Vijay Rupani,Pro,4
Yogi Adityanath,Anti,10
Yogi Adityanath,Pro,25
