Abdul Kalam	Indian scientist and administrator
Abhijit Banerjee	Indian economist
Amartya Sen	Indian economist and philosopher
Arvind Panagaria	Vice Chairman of Niti Aayog
Bibek Debroy	Indian economist
Brahma Chellaney	strategic thinker, author
Jagdish Bhagwati	American economist
Jayati Ghosh	left leaning economist
Jean Dreze	development economist
Kaushik Basu	Indian economist
Madhav Gadgil	Indian Ecologist
Mahmood Mamdani	Ugandan academic, author and political commentator
Raghuram Rajan	Governor,Reserve Bank of India
