Entity_name;aggr_sent;total_pos;total_neg;polarity
Anand Kishore;1.349;0.449;0.0;0.449
Akhilesh Yadav;2.6375;1.1219999999999999;0.297;3.7777777777777777
Siddaramaiah;1.2421;0.29200000000000004;0.0;0.29200000000000004
Arun Jaitley;8.4089;2.3979999999999997;0.359;6.679665738161559
Ravi Shankar Prasad;10.441900000000002;3.531;0.574;6.151567944250872
Sushma Swaraj;2.1944;0.902;0.059;15.28813559322034
Jaskiran Singh;1.8345999999999998;0.46799999999999997;0.124;3.7741935483870965
Devendra Fadnavis;8.9592;3.32;0.28700000000000003;11.567944250871077
Suresh Prabhu;2.5422000000000002;0.7390000000000001;0.041;18.02439024390244
Amit Shah;-0.6338999999999999;0.145;0.405;2.7931034482758625
Vasundhara Raje;3.3104;1.044;0.054;19.333333333333336
Rahul Gandhi;0.7392000000000001;0.671;0.385;1.7428571428571429
Ananta Narayan Jena;3.6763999999999997;1.6389999999999998;0.13;12.607692307692306
Nandan Nilekani;2.2607999999999997;0.786;0.0;0.786
Chandrababu Naidu;0.4019;0.074;0.0;0.074
Narendra Modi;67.41809999999995;30.26500000000002;9.109;3.3225381490833263
Mukesh Ambani;2.6725000000000003;0.9289999999999999;0.139;6.683453237410071
Venkaiah Naidu;2.5303;1.284;0.5569999999999999;2.3052064631956917
Mamata Banerjee;0.4404;0.281;0.151;1.860927152317881
Rajnath Singh;1.0615999999999999;0.275;0.0;0.275
