Entity_name;aggr_sent;total_pos;total_neg;polarity
Mukul Rohatgi;1.2650000000000001;0.575;0.108;5.3240740740740735
Arun Jaitley;2.121;0.5820000000000001;0.0;0.5820000000000001
Javadekar;0;0;0;0
Jean Dreze;0;0;0;0
Sonia Gandhi;0;0;0;0
Rajiv Bajaj;0;0;0;0
Piyush Goyal;0;0;0;0
Ram Madhav;0;0;0;0
Faizan Mustafa;0;0;0;0
Mamata Banerjee;0;0;0;0
Venkaiah Naidu;0;0;0;0
Arvind Subramanian;0;0;0;0
Ravi Shankar Prasad;0;0;0;0
Soli Sorabjee;0;0;0;0
Narendra Modi;0.6268999999999999;0.479;0.26;1.8423076923076922
