Entity_name;aggr_sent;total_pos;total_neg;polarity
Hasmukh Adhia;0;0;0;0
Amarinder;-0.6017999999999999;0.727;0.8679999999999999;1.1939477303988995
Narendra Modi;15.046700000000003;8.761000000000001;3.8640000000000008;2.267339544513457
Naveen Patnaik;1.1175;0.627;0.0;0.627
Devendra Fadnavis;0.6393000000000001;0.594;0.41800000000000004;1.4210526315789471
Arvind Kejriwal;-0.6294;0.1;0.386;3.86
Ravi Shankar Prasad;8.3863;3.0729999999999995;0.48;6.402083333333333
Raghubar Das;0.4526;0.182;0.124;1.467741935483871
Nandan Nilekani;1.004;0.278;0.0;0.278
Nandan Nilekani Nandan;9.238999999999999;4.2940000000000005;1.4929999999999999;2.876088412592097
Lalu Prasad;1.6098;0.529;0.237;2.2320675105485233
Nitish Kumar;2.167099999999999;1.06;0.6369999999999999;1.6640502354788071
Piyush Goyal;-0.11200000000000004;0.366;0.295;0.8060109289617486
Urjit Patel;-1.0216000000000003;0.329;0.549;1.668693009118541
Akhilesh Yadav;2.1515000000000004;1.63;1.093;1.4913083257090576
Mukesh Ambani;2.1237;0.5009999999999999;0.0;0.5009999999999999
Prakash Javadekar;0.9240999999999995;1.673;0.731;2.2886456908344734
Mayawati;0.875;0.653;0.351;1.8603988603988606
Arun Jaitley;12.0776;5.018999999999999;2.048;2.4506835937499996
Bhim Sen Sehgal;-2.0011;0.157;0.508;3.2356687898089174
Vijay Shekhar Sharmas;1.3518;0.428;0.0;0.428
