Entity_name;aggr_sent;total_pos;total_neg;polarity
Devendra Fadnavis;1.281;0.347;0.0;0.347
Anil Ambani;0;0;0;0
Sukhbir Singh Badals;0;0;0;0
Narendra Modi;10.495099999999999;3.875;0.48;8.072916666666668
Amit Mitra;0;0;0;0
Arun Jaitley;0.7096;0.237;0.0;0.237
M.N. Vidyashankar;2.1308;0.49799999999999994;0.0;0.49799999999999994
Vijay Kumar Dev;0;0;0;0
Kapil Sibal;-0.4482999999999999;0.238;0.357;1.5
Arvind Kejriwal;0.359;0.9299999999999999;1.364;0.6818181818181818
Ravi Shankar Prasad;1.2683;0.39499999999999996;0.121;3.264462809917355
Nitin Gadkari;-0.1027;0.036;0.044;1.2222222222222223
Manmohan Singh;0;0;0;0
Nitish Kumar;0.6183000000000001;0.28500000000000003;0.164;1.7378048780487807
Manohar Lal Khattar;0.7003;0.188;0.0;0.188
Sharad Pawar;1.0739999999999998;0.40800000000000003;0.074;5.513513513513514
Prashant Bhushan;0;0;0;0
Sachin Pilot;2.3605;0.99;0.313;3.1629392971246006
Prithviraj Chavan;0;0;0;0
