Entity_name;aggr_sent;total_pos;total_neg;polarity
Uddhav Thackeray;5.045;1.7690000000000001;0.214;8.266355140186917
Chandrasekhar Rao;3.5806;0.978;0.0;0.978
Amit Shah;3.3278000000000008;1.641;0.48;3.41875
Nitin Gadkari;3.8851;1.567;0.569;2.7539543057996485
H.D. Kumaraswamys;3.3475000000000006;3.9300000000000015;2.9980000000000007;1.3108739159439629
Chandrababu Naidu;0.07030000000000014;0.85;0.734;1.1580381471389645
Sharad Pawar;2.8604;1.575;0.801;1.9662921348314606
Sachin Pilot;-1.5544000000000002;0.529;0.94;1.7769376181474479
Arvind Kejriwal;1.0232;1.2080000000000002;1.188;1.016835016835017
Akhilesh Yadav;1.3016;1.4980000000000002;1.153;1.2992194275802256
Parkash Singh Badals;-0.3375;0.9119999999999999;0.9560000000000002;1.048245614035088
Arun Jaitley;-1.9460000000000002;0.354;0.7839999999999999;2.214689265536723
Devendra Fadnavis;8.506499999999997;10.527;8.233;1.2786347625409933
Vasundhara Raje;6.0649;1.766;0.34800000000000003;5.07471264367816
Narendra Modi;-0.6048000000000006;5.434;5.832;1.0732425469267575
Siddaramaiah;-0.06510000000000027;0.9289999999999999;1.485;1.598493003229279
B.S. Yeddyurappas;2.9549;0.8379999999999999;0.138;6.072463768115941
Amarinder;2.7381;6.028999999999998;4.249;1.4189220993174863
Rahul Gandhi;3.5847000000000033;4.866;3.007;1.618224143664782
Kishore Tiwari Tiwari;-1.7732999999999999;0.407;0.878;2.157248157248157
