Entity	Source	By-Statement
Ajay Kumar	NIE	Alleging that Modi has not fulfilled any of the announcements made for farmers before coming to power at the centre three years back , Ajaykumar said because of the governments neglect , as many as 35 farmers are taking their lives every day .
Ajay Kumar	TOI	Additional district magistrate Ajaykumar said , we have already written to the insurance company to disburse the actual crop insurance money to the farmers .
Ajit Pawar	TOI	Asserting that the interests of farmers will be protected , Ajitpawar , who also holds finance portfolio , said , the state government will do nothing that will adversely affect farmers in Maharashtra .
Ajit Pawar	IE	, Ajitpawar had said in an insensitive comment at Indapur near Pune on Saturday that set off a controversy in the state reeling under severe drought .
Ajit Pawar	IE	B'Amid clamour for his resignation over the controversial remarks on drought , Maharashtra deputy chief minister PERSON today said any decision on the issue would be taken only after consulting party legislators .
Akhilesh Yadav	IE	) asked if he was not ruling out the possibility of a Post-Poll alliance with anyone if needed , Akhileshyadav said : I still want to say that the farmers , women and the youth have supported the PERSON party .
Akhilesh Yadav	DecH	Up chief minister PERSON said here that his party would not support the GST bill without ascertaining if its passage would result in any financial loss to the state Exchequer .
Akhilesh Yadav	DecH	Asks Akhileshlucknow , Feb 26 , 2017 , PTI : 21:03 Isttaking on prime minister PERSON over his poll promises , chief minister Akhileshyadav today asked why he was waiting for the results of the Uttar Pradesh election to waive farmers ' loans .
Akhilesh Yadav	NIE	Attacking the centre over currency ban , Akhileshyadav said it was not only that the people who suffered due to Demonetisation , note ban had hit the countrys economy equally hard .
Akhilesh Yadav	NIE	Agreeing to the fact that PERSON accounts had been misused by high and mighty to convert their black money into white , Akhileshyadav said even his government was against such corruption .
Akhilesh Yadav	NIE	I fail to understand it ) , said Akhileshyadav while trying to bring home the point that the BJP had used Demonetisation as a tool to Befool people in the name of checking black money and curbing corruption .
Akhilesh Yadav	NIE	While announcing RS 2 lakh compensation for the families of Demonetisation victims , chief minister Akhileshyadav on Wednesday said the government would give RS 5 lakh to the family members of the woman who Immolated herself after allegedly failing to exchange scrapped currency notes in Aligarh district .
Akhilesh Yadav	NIE	Without mentioning the Modi 's speech at Kushinagar , where he also criticised the SP government for not implementing centre 's farmer welfare schemes , Akhileshyadav said the Modi government has failed to fulfill its promises for Agra .
Akhilesh Yadav	NIE	Chief minister Akhileshyadav had announced financial assistance of RS 2 lakh for kin of economically backward families who die while waiting in queues at ATMs or banks .
Akhilesh Yadav	NIE	PERSON wo polling booth PERSON ( polling booths will see long queues like ones outside ATMs now , PERSON told PTI in an interview .
