Entity,label,By-Statement
Ajay Kumar,PRO,2
Akhil Arora,PRO,3
Akhilesh Yadav,PRO,3
Amarinder Singh,PRO,3
Anand Kishore,PRO,1
Ananta Narayan Jena,ANTI,1
Ananta Narayan Jena,PRO,7
Angela Merkel,ANTI,1
Anil Baijal,PRO,3
Anil Vij,PRO,1
Arun Jaitley,ANTI,6
Arun Jaitley,PRO,21
Arundhati Bhattacharya,PRO,1
Ashraf,ANTI,1
Ashraf,PRO,1
Babu,ANTI,3
Babu,PRO,14
Barack Obama,ANTI,3
Barack Obama,PRO,6
Chanda Kochhar,PRO,1
Chandra Bose,PRO,1
Deepak,ANTI,3
Deepak,PRO,6
Deepak Kumar,ANTI,1
Deepak Kumar,PRO,2
Devendra Fadnavis,ANTI,2
Devendra Fadnavis,PRO,1
Dhawan,PRO,1
Dinesh Waghmare,ANTI,1
Gandhi,ANTI,10
Gandhi,PRO,8
Gautham,ANTI,1
Gautham,PRO,8
Ghanshyam Thori,PRO,1
Gogia,PRO,1
Hamid Ansari,ANTI,1
Hamid Ansari,PRO,1
Harsh Vardhan,ANTI,2
Jain,ANTI,1
Jain,PRO,7
Jayalalithaa,PRO,2
Jim Yong Kim,PRO,1
Kiran Kumar,ANTI,1
Kiran Kumar,PRO,7
Kumar Mangalam Birla,PRO,1
Kumar Ravi,PRO,4
M. Venkaiah Naidu,PRO,1
Madan,ANTI,1
Mahesh Sharma,PRO,2
Mamata Banerjee,ANTI,1
Mamata Banerjee,PRO,5
Manish Tewari,PRO,2
Manmohan Singh,PRO,1
Manohar Lal Khattar,ANTI,1
Manohar Lal Khattar,PRO,6
Manohar Parrikar,ANTI,3
Manohar Parrikar,PRO,13
Mark Zuckerberg,PRO,1
Modi,ANTI,38
Modi,PRO,363
Mukesh Kumar,PRO,2
Mukhtar Abbas Naqvi,PRO,1
Nagar,ANTI,1
Nagar,PRO,2
Naidu,ANTI,4
Naidu,PRO,15
Naregal,ANTI,2
Naregal,PRO,3
Narendra Modi,ANTI,4
Narendra Modi,PRO,42
Naveen Patnaik,PRO,5
Nawaz Sharif,PRO,1
Nirmala Sitharaman,PRO,1
Nitish Kumar,ANTI,5
Nitish Kumar,PRO,13
Omar Abdullah,ANTI,1
Oommen Chandy,ANTI,1
Park,PRO,4
Piyush Goyal,ANTI,1
Piyush Goyal,PRO,2
Pranab Mukherjee,ANTI,6
Pranab Mukherjee,PRO,19
Prithviraj Chavan,PRO,1
Radhakrishnan,PRO,3
Rajesh Kumar,ANTI,1
Rajiv Kumar,ANTI,2
Rajiv Kumar,PRO,1
Rajnath Singh,PRO,7
Ram,ANTI,37
Ram,PRO,148
Ram Nath Kovind,PRO,1
Randeep Singh Surjewala,PRO,1
Read,PRO,3
Sarbananda Sonowal,PRO,2
Satya Nadella,PRO,3
Shashi Tharoor,ANTI,4
Shashi Tharoor,PRO,8
Shinzo Abe,PRO,1
Shukla,PRO,6
Siddaramaiah,ANTI,13
Siddaramaiah,PRO,49
Smriti Irani,ANTI,5
Smriti Irani,PRO,12
Soumini Jain,PRO,1
Stefan Lofven,PRO,1
Sushil Kumar Modi,PRO,1
Syed Akbaruddin,PRO,1
Thampi,PRO,1
Tim Cook,PRO,9
Vasundhara Raje,ANTI,1
Vijay Mallya,ANTI,1
Vijay Mallya,PRO,3
Vijay Rupani,PRO,1
Vikas Swarup,PRO,1
Virat Kohli,ANTI,1
Virat Kohli,PRO,2
Xi Jinping,PRO,4
