Num,target,statement
1,Pro,All AADHAR-based applications would be accessible through post offices.
2,Pro,"In this New Year full of aspirations and hope, I welcome you to the Joint Sitting of the Two Houses of the Parliament with the belief that your deliberations will be productive and useful."
3,Anti,"Making Aadhaar mandatory for availing subsidies was resulting in exclusion of beneficiaries and the government cannot claim to have saved huge subsidies by this, he said."
4,Pro,The Unique Identity Authority of India has been roped in to connect with mobile manufacturers to allow Aadhaar-enabled banking transactions.
5,Anti,The UIDAI has also sought technical details on how access was gained for the National Social Assistance Programme (NSAP) site -- one of the four portals where the alleged leak happened.
6,Pro,Nearly 15-16 lakh biometric devices are currently being used for Aadhaar authentication across the country.
7,Pro,"Only 'registered devices' that incorporate the new specifications will be allowed to perform Aadhaar authentication after September 30, 2017."
8,Anti,"We found that even after we ordered the shutting down of some unauthorised websites, some new websites had come up."
9,Neutral,"Over the next six months, we will continue to see an average of 1.5 crore enrollments every month, after which it will decline."
10,Neutral,We are going to say that in India only registered devices will work (for Aadhaar authentication).
11,Neutral,"If you want to use Aadhaar authentication, then your devices will have to be registered with us, Ajay Bhushan Pandey, CEO of UIDAI told PTI."
12,Neutral,"All devices will have to be registered by us, it will further add to the security, he said."
13,Pro,"Unique Identification Authority of India (UIDAI), the nodal body responsible for rolling out the Aadhaar programme in the country, has also come out in favour of incentives for shopkeepers using the biometric mode for digital transactions, in line with commission given by banks to business correspondents, in a bid to promote Aadhaar-based payment system in rural pockets."
14,Pro,We have recently come out with new specifications and asked manufacturers and vendors to go for STQC certification as per the new standards.
15,Pro,"They know when they make specially designed biometric fingerprint scanner for Aadhaar and put another lock as per UIDAI's requirement, it will sell in the market."
16,Pro,"At UIDAI, we are very strict on the privacy issue."
17,Pro,"Aadhar to bring transparency in welfare schemes: PMNew Delhi, Aug 15, 2012, (IANS): 9:57 ISTThe government wanted to create a system through which money from central welfare schemes could be credited directly into bank accounts of beneficiaries and would utilise the unique identification number Aadhar scheme for this, Prime Minister Manmohan Singh said Wednesday."
18,Pro,"Now, in a more ambitious version of programmes that have slashed poverty in Brazil and Mexico, the government has begun to use the UID database, known as Aadhaar, to make direct cash transfers to the poor, in an attempt to cut out frauds who siphon billions of dollars from welfare schemes."
19,Pro,"Now, in a more ambitious version of programmes that have slashed poverty in Brazil and Mexico, the government has begun to use the UID database, known as Aadhaar, to make direct cash transfers to the poor, in an attempt to cut out frauds who siphon billions of dollars from welfare schemes."
20,Anti,"The growing gap between demand and supply of energy has emerged as a major constraint on our development, he said."
21,Pro,"He said he has no doubt that, in the time that is available to the government, each one of them will bring the best efforts to complete the unfinished task."
22,Neutral,The party plans to finalise most candidates by the end of February.
23,Pro,The scheme is aimed at directly transferring cash to beneficiaries under social schemes such as MNREGA and pension.
24,Pro,"Chidambaram also said the government was mulling incorporating Aadhar numbers in the future resident identity cards of the National Population Register(NPR), which falls under the home ministry."
25,Anti,His comments came against the backdrop of reports of differences between the home ministry and the Planning Commission over carrying out the bio-metric collections for the ambitious unique identification number project.
26,Neutral,"This can be done, parallel with whatever others (home ministry) are doing."
27,Pro,NEW DELHI: The Unique Identification Authority of India (UIDAI) will move the Supreme Court to explain its position related to the Aadhaar scheme and also make a bid to save the UPA's showpiece initiative which aims at ensuring transparency in accessing public services and payment of subsidies.
28,Neutral,He also said that UIDAI will detail its position on the Aadhaar system to the apex court in an affidavit to be filed shortly.
29,Pro,Last month the SC ruled that Aadhaar can only be issued to those with proven Indian nationality and cannot be mandatory for accessing public services and subsidies.
30,Neutral,Deputy chairman of Planning Commission Montek Singh Ahluwalia told TOI that UIDAI will detail its position on the Aadhaar system to the apex court in an affidavit to be filed shortly.
31,Neutral,Just recently it was reported that Rajnath Singh is considering the merger of Aadhaar with the National Population Register (NPR) exercise.
32,Neutral,We will review Aadhaar project if BJP-led NDA comes to power and look into its flaws.
33,Neutral,"It did not involve any process of authentication or matching by those agencies with the data held by them, was UIDAIs reply."
34,Neutral,"It also requires a software that is supported by a bank, which is used by a merchant to take payments."
35,Pro,"Swinging into action, the Unique Identification Authority of India (UIDAI) has reached out to its regional offices to, in turn, sensitise enrollment agencies to strictly adhere to the rules of enrollment, even as the erring operator has been blacklisted."
36,Pro,"Of course, we have taken action against the operator, that the operator should not have done this, he said."
37,Anti,"The report states: Based on the numbers available on the websites looked at, the estimated number of Aadhaar numbers leaked through these 4 portals could be around 130-135 million (13- 13.5 crore) and the number of bank accounts numbers leaked at around 100 million (10 crore) from the specific portals we looked at."
38,Neutral,Section 29(4) of Aadhaar Act prohibits making Aadhaar number of any individual public.
39,Pro,The new encryption adds another security layer to the hardware at a time when such devices are all set to take the centre stage in biometric-based digital payments.
40,Pro,The idea is to ensure no person is left out in the enrolment.
41,Pro,The Centre recently notified the new Aadhar Act which gives the numbers assigned by it a statutory backing for transfer of subsidies and benefits to people eligible for them.
42,Pro,We have recently come out with new specifications and asked manufacturers and vendors to go for STQC certification as per the new standards.
43,Pro,"Now manufacturers too are showing interestThey know when they make specially designed biometric fingerprint scanner for Aadhaar and put another lock as per UIDAIs requirement, it will sell in the market."
44,Anti,"Photo of Ms Dhoni posted on Twitter by CSCeGov handle Photo of Ms Dhoni posted on Twitter by CSCeGov handleThe centre which, on Tuesday, leaked the Aadhaar data of former Indian cricket captain Mahendra Singh Dhoni on Twitter has been blacklisted for 10 years by UIDAI, reported news agency PTI."
45,Anti,"While the enrolling agencies are paid up to Rs 40 for a successful enrollment,banks are charging about Rs 50 for the same,said a UIDAI official."
46,Pro,We have received certain complaintswe have a zero tolerance policy on overcharging.
47,Anti,"In more severe cases, FIRs have been filed."
48,Neutral,I have said this in Parliament and I say it now.
49,Anti,"For people at large, he is a Congress candidate with all the baggage and legacy of that party, such as price rise, economic crisis, corruption, scams, insecurity at the borders etc."
50,Neutral,"These include Aam Aadmi Party's Nina Nayak, Ruth Manorama from Janta Dal (Secular) and 12 independents among others."
51,Neutral,Kumar said that his election campaign was going full-blast and he was seeing tremendous support here for BJP and for Narendra Modi as the country's next Prime Minister.
52,Pro,"The country needs more good people from all fields including the corporate world, he said, adding politics is an instrument of change."
53,Neutral,"Nilekani committing hara-kiri: Ananth KumarBangalore, Apr 13, 2014, (PTI) 14:13 ISTFighting Nandan Nilekani to extend his record winning streak in Lok Sabha polls here, senior BJP leader Ananth Kumar says the former Infosys chief has committed hara-kiri by fighting on a Congress ticket as the party today symbolises corruption and scams."
54,Anti,"When problems like inflation and economic slowdown were taking place, he was not doing anything and was only keeping mum."
55,Neutral,Kumar is a member of BJP's Parliamentary Board and also a National General Secretary of the party.
56,Neutral,"In the past two years, he said, the government has enrolled 24 crore people for Aadhar and we expect to give Aadhar cards to around 60 crore by 2014."
57,Anti,"Wary of glitches discrediting cash transfers and bolstering political parties and activists opposed to the move, the government is looking at just seven schemes."
58,Neutral,"Here, existing system will continue because they are complex issues involving larger number (of beneficiaries), he added."
59,Pro,"This is indeed a game changer, Chidambaram asserted and said that banks have already floated tenders for 20 lakh micro-ATMs which once become operational will help the government in directly transferring the cash in the beneficiaries accounts."
60,Neutral,He said he will meet petroleum minister Veerappa Moily to discuss the modalities soon.
61,Pro,It will eliminate all duplicate connections and when it eliminates duplicate connections it will also save us some subsidy.
62,Neutral,That would make it 121 districts so roughly 20% of the country.
63,Neutral,"In fact, the number has actually come down from the peak of 35,600 seen in September."
64,Pro,"There is considerable ease in using Aadhaar-based authentication apart from several advantages with the entire process being realti me, UIDAI CEO Ajay Bhushan Pandey told TOI."
65,Neutral,in to download their cards.
66,Pro,"Also, an individual seeking another Aadhaar number on the same biometric details is sure to be caught by the UIDAI as biometrics are unique to a person."
67,Neutral,They are unaware that they have given their biometrics.
68,Neutral,UIDAI is currently working with banks and the National Payments Corporation of India (NPCI) and expects to roll out the feature in the next few weeks.
69,Neutral,Aadhaar number will be the sixth such option.
70,Pro,It will also be possible to key in the Aadhaar number at a point-of-sale device and authenticate using biometrics.
71,Pro,"A pilot is underway at fair price shops in Andhra Pradesh, where shopkeepers are accepting payments from PDS beneficiaries."
72,Pro,"At UIDAI, we are very strict on privacy issues."
73,Pro,We have recently come out with new specifications and asked manufacturers and vendors to go for STQC certification as per the new standards.
74,Neutral,"They know when they make specially designed biometric fingerprint scanner for Aadhaar and put another lock as per UIDAI's requirement, it will sell in the market."
75,Neutral,We urge them to clearly indicate the purpose for which they are submitting the same along with the date and time.
76,Pro,"Our toll-free helpline 1947, which has been revamped to handle more incoming calls, brings aadhaar closer to everyone."
77,Neutral,"There is no concept such as smart or plastic Aadhaar card, Ajay Bhushan Pandey , CEO of UIDAI, said in a statement."
78,Pro,The use of a fake Aadhaar ID will prove more hazardous to criminals as compared to spurious ration or election cards as biometric data can identify an individual with more certainty.
79,Pro,The Planning Commission today said the Nandan Nilekani-led UIDAI project is better than the one being advocated by the Home Ministry for capturing data regarding residents and improving the delivery of the government schemes.
80,Pro,"if you want a platform to improve the efficiency of government schemes delivery that money is well worth it, hesaid."
81,Neutral,Smart card technology is that it can only be read by someone who actually has a card reading device.
82,Neutral,"Chidambaram also said the government was mulling incorporating Aadhar numbers in the future resident Identity cards of the National Population Register(NPR),which falls under the Home Ministry."
83,Anti,His comments came against the backdrop of reports of differences between the Home Ministry and the Planning Commission over carrying out the bio-metric collections for the ambitious Unique Identification Number project.
84,Pro,"At a joint press conference today,Union Home Minister P Chidambaram,Nilekani and Planning Commission Deputy Chairman Montek Singh put up a united front,saying the NPR and UID projects will proceed alongside to ensure that all Indian citizens have a unique number by June 2013."
85,Anti,The UIDAI has also sought technical details on how access was gained for the National Social Assistance Programme (NSAP) site -- one of the four portals where the alleged leak happened.
86,Pro,"In a bid to promote Aadhaar-based payment system, especially in rural pockets, UIDAI has favoured incentives for shopkeepers using the biometric mode for digital transactions, in line with commission given by banks to Business Correspondents."
87,Pro,"We are saying wherever you do not have business corespondents, supposing a merchant is able to facilitate payment directly from the Aadhaar-linked bank account, then there has to be a system in which the merchant should get the incentive, he said."
88,Pro,"it is a win-win situation, he added."
89,Neutral,"This section of the society will be best dealt, in this manner, he said."
90,Neutral,"the banks were paying this kind of commission to the Business Correspondents and they will continue to pay at similar levels, he pointed out."
91,Neutral,The mobile phone is a bigger tool of surveillance than Aadhaar.
92,Anti,"We found that even after we ordered the shutting down of some unauthorised websites, some new websites had come up."
93,Anti,"These websites and companies extending these unauthorised services, tantamount to violation under Information Technology Act 2000, Section 38 of Aadhaar Act 2016, and Section 409 (Criminal breach of trust) and Section 420 (cheating) of IPC, according to UIDAI."
94,Neutral,Axis Bank representatives did not respond to requests for comment.
95,Neutral,Question is how we minimise the risk.
96,Pro,"The beneficiaries would be able to get cash through banks, ATMs and even mobile banking when the projects take off."
97,Anti,"Unfortunately, the major portion of the subsidies does not reach the beneficiaries."
98,Neutral,"Stating that subsidy on kerosene should be linked to reforms in the Public Distribution System (PDS), he said the success of direct transfer of subsidy on the fuel would depend on State governments who distributed them."
99,Pro,"Congress leader Jairam Ramesh said: What sterilisation was to the Emergency, Aadhaar seeding is becoming to your government."
100,Pro,"It is a target-oriented approach, 100 per cent seeding in every programme."
101,Pro,"What sterilisation was to the Emergency, Aadhaar seeding is becoming to your government."
102,Pro,"He also said 32,000 private companies have been blacklisted in the interest of data protection."
